"treatment","sex","subject","frequency","response","responsem1","responsem2","responsem3"
"cadmium","female","11","X0.65cm",1,1,1,1
"water","female","12","X0.65cm",0,0,0,1
"cadmium","male","13","X0.65cm",1,1,1,1
"water","male","14","X0.65cm",-1,0,1,0
"cadmium","male","15","X0.65cm",1,1,1,1
"water","male","16","X0.65cm",1,1,1,1
"cadmium","female","17","X0.65cm",0,0,0,1
"water","female","18","X0.65cm",0,0,0,1
"cadmium","female","19","X0.65cm",0,0,0,1
"water","female","20","X0.65cm",0,0,0,1
"water","male","21","X0.65cm",1,1,1,1
"cadmium","female","22","X0.65cm",0,0,0,1
"water","female","23","X0.65cm",0,0,0,1
"cadmium","male","24","X0.65cm",0,0,0,1
"water","female","25","X0.65cm",0,0,0,1
"cadmium","male","26","X0.65cm",0,0,0,1
"water","male","27","X0.65cm",1,1,1,1
"cadmium","female","28","X0.65cm",1,1,1,1
"water","male","29","X0.65cm",0,0,0,1
"cadmium","female","30","X0.65cm",0,0,0,1
"water","male","31","X0.65cm",0,0,0,1
"cadmium","female","32","X0.65cm",-1,0,1,0
"water","female","33","X0.65cm",0,0,0,1
"cadmium","male","34","X0.65cm",0,0,0,1
"water","female","35","X0.65cm",0,0,0,1
"cadmium","male","36","X0.65cm",0,0,0,1
"water","male","37","X0.65cm",0,0,0,1
"cadmium","female","38","X0.65cm",0,0,0,1
"water","male","39","X0.65cm",0,0,0,1
"cadmium","female","40","X0.65cm",0,0,0,1
"water","male","41","X0.65cm",1,1,1,1
"cadmium","female","42","X0.65cm",0,0,0,1
"water","female","43","X0.65cm",1,1,1,1
"cadmium","male","44","X0.65cm",1,1,1,1
"water","female","45","X0.65cm",0,0,0,1
"cadmium","male","46","X0.65cm",0,0,0,1
"water","male","47","X0.65cm",0,0,0,1
"cadmium","female","48","X0.65cm",0,0,0,1
"water","male","49","X0.65cm",1,1,1,1
"cadmium","female","50","X0.65cm",0,0,0,1
